miles,location,name,sex,w,l,d,division,from,to,players_links
296,"USA, New York, New York",Khalid Bethea,male,0,1,0,light heavy,2019,2019,https://boxrec.com/en/proboxer/870650
297,"USA, New Jersey, North Bergen",John Bauza,male,13,0,0,super light,2016,2019,https://boxrec.com/en/proboxer/756261
297,"USA, New York, Jamaica, Queens",Devaun Lee,male,10,7,1,middle,2013,2019,https://boxrec.com/en/proboxer/660961
297,"USA, New Jersey, Union City",Juan Rodriguez Jr,male,13,7,0,welter,2009,2019,https://boxrec.com/en/proboxer/519443
297,"USA, New Jersey, North Bergen",Kevin Asmat,male,6,2,0,light,2016,2019,https://boxrec.com/en/proboxer/765693
298,"USA, South Carolina, Clover",Taylor Starling,female,1,0,0,super bantam,2019,2019,https://boxrec.com/en/proboxer/866220
299,"USA, New York, Queens",Luis Collazo,male,39,8,0,welter,2000,2019,https://boxrec.com/en/proboxer/20231
299,"USA, New York, Queens",Ariel Lopez,male,13,0,1,bantam,2016,2019,https://boxrec.com/en/proboxer/760250
299,"USA, New York, Queens",Armin Mrkanovic,male,10,3,0,cruiser,2011,2019,https://boxrec.com/en/proboxer/559920
299,"USA, New York, Queens",Lashawn Alcocks,male,1,7,0,middle,2018,2019,https://boxrec.com/en/proboxer/846635
299,"USA, New York, Corona",Frank Castillo,male,6,0,2,middle,2013,2019,https://boxrec.com/en/proboxer/661656
300,"USA, New York, Elmont, Long Island,",Tyrone James,male,11,0,0,super welter,2015,2019,https://boxrec.com/en/proboxer/738358
300,"USA, New York, Elmont, Long Island,",Titus Williams,male,9,2,0,feather,2015,2019,https://boxrec.com/en/proboxer/725867
300,"USA, Pennsylvania",Lawrence Blakey,male,5,13,2,super middle,2012,2019,https://boxrec.com/en/proboxer/618476
300,"USA, Pennsylvania",Nick Browne,male,2,0,0,light heavy,2014,2019,https://boxrec.com/en/proboxer/676614
300,"USA, Pennsylvania",Llewelyn McClamy,male,2,0,0,super light,2017,2019,https://boxrec.com/en/proboxer/816437
300,"USA, Pennsylvania",Rick Borowski,male,2,0,0,middle,2017,2019,https://boxrec.com/en/proboxer/792498
300,"USA, Pennsylvania",Deon Goodlow,male,1,2,0,super welter,2018,2019,https://boxrec.com/en/proboxer/843092
300,"USA, Pennsylvania",Corey Morley,male,0,3,1,heavy,2015,2019,https://boxrec.com/en/proboxer/735610
301,"USA, New Jersey, Hasbrouck Heights",Julian Rodriguez,male,18,0,0,super light,2013,2019,https://boxrec.com/en/proboxer/663098
301,"USA, West Virginia, Pennsboro",John Colvin,male,4,15,0,super middle,2007,2018,https://boxrec.com/en/proboxer/425414
302,"USA, New York, Bronx",Richard Commey,male,29,2,0,light,2011,2019,https://boxrec.com/en/proboxer/563751
302,"USA, New York, Bronx",Eddie Gomez,male,23,3,0,welter,2010,2019,https://boxrec.com/en/proboxer/550958
302,"USA, New York, Bronx",Joshua Clottey,male,40,5,0,middle,1995,2019,https://boxrec.com/en/proboxer/9300
302,"USA, New York, Bronx",Joseph Agbeko,male,36,5,0,bantam,1998,2019,https://boxrec.com/en/proboxer/22761
302,"USA, New York, Bronx",Berlin Abreu,male,14,3,0,welter,2010,2019,https://boxrec.com/en/proboxer/558434
302,"USA, New York, Bronx",Josue Vargas,male,15,1,0,super light,2015,2019,https://boxrec.com/en/proboxer/737807
302,"USA, New York, Bronx",Steven Martinez,male,18,5,0,middle,2009,2019,https://boxrec.com/en/proboxer/505731
302,"USA, Pennsylvania, Bunola",Rod Salka,male,24,6,0,super feather,2007,2019,https://boxrec.com/en/proboxer/397913
302,"USA, New York, Bronx",George Arias,male,15,0,0,heavy,2014,2019,https://boxrec.com/en/proboxer/698932
302,"USA, New York, Bronx",Peter Dobson,male,11,0,0,super welter,2014,2019,https://boxrec.com/en/proboxer/699549
302,"USA, New York, Bronx",Gledwin Ortiz,male,6,3,0,welter,2015,2019,https://boxrec.com/en/proboxer/721332
302,"USA, New York, Bronx",Maureen Shea,female,28,2,1,feather,2005,2019,https://boxrec.com/en/proboxer/326922
302,"USA, New York, Bronx",Troy Artis,male,5,9,1,middle,2007,2018,https://boxrec.com/en/proboxer/427000
302,"USA, New York, Bronx",Angel Luna,male,11,6,1,feather,2011,2019,https://boxrec.com/en/proboxer/572090
302,"USA, New York, Bronx",Ismael Villarreal,male,6,0,0,middle,2017,2019,https://boxrec.com/en/proboxer/814922
302,"USA, New York, Bronx",Bruno Bouhi,male,4,3,0,light heavy,2011,2019,https://boxrec.com/en/proboxer/577949
302,"USA, New York, Bronx",Rafael Castillo,male,1,4,0,super bantam,2017,2019,https://boxrec.com/en/proboxer/813748
302,"USA, New York, Bronx",Afunwa King,male,1,1,0,,2019,2019,https://boxrec.com/en/proboxer/850018
302,"USA, New York, Bronx",Juan Celin Zapata,male,6,16,2,super middle,2006,2019,https://boxrec.com/en/proboxer/365820
302,"USA, New York, Bronx",Jahvel Joseph,male,1,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/899439
302,"USA, New York, Bronx",Lionel Charles,male,2,7,1,middle,2013,2019,https://boxrec.com/en/proboxer/675301
302,"USA, New York, Bronx",Dashaun Johns,male,2,0,0,super light,2018,2019,https://boxrec.com/en/proboxer/846575
302,"USA, New York, Bronx",Stephen Kirnon,male,2,2,1,heavy,2015,2019,https://boxrec.com/en/proboxer/740745
302,"USA, New York, Bronx",Bengar Garcia,male,2,4,0,welter,2016,2018,https://boxrec.com/en/proboxer/771525
302,"USA, New York, Bronx",Danny Morales,male,0,8,0,welter,2007,2019,https://boxrec.com/en/proboxer/431817
302,"USA, New York, Bronx",Brandon Bey,male,0,1,0,middle,2017,2018,https://boxrec.com/en/proboxer/813044
302,"USA, New York, Bronx",Devon Grant,male,0,2,0,super welter,2018,2019,https://boxrec.com/en/proboxer/859317
303,"USA, New York, Washington Heights",Carlos Adames,male,18,0,0,super welter,2015,2019,https://boxrec.com/en/proboxer/723287
303,"USA, New Jersey, Paterson",Rickey Edwards,male,12,4,0,super light,2013,2019,https://boxrec.com/en/proboxer/644643
303,"USA, New Jersey, Paterson",Jeremy Bryan,male,17,8,0,welter,2007,2019,https://boxrec.com/en/proboxer/430476
303,"USA, New Jersey, Paterson",Shadasia Green,female,3,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/866213
303,"USA, New Jersey, Paterson",Norman Neely,male,4,0,0,heavy,2019,2019,https://boxrec.com/en/proboxer/870002
303,"USA, New York, Uniondale",Emmanuel Etienne,male,1,0,0,light heavy,2019,2019,https://boxrec.com/en/proboxer/894273
305,"USA, Pennsylvania, McKeesport",Cortland Woodard,male,0,2,0,super welter,2018,2019,https://boxrec.com/en/proboxer/853454
306,"USA, West Virginia",Matt Wright,male,4,0,0,light heavy,2018,2019,https://boxrec.com/en/proboxer/833819
306,"USA, West Virginia",Dell Long,male,6,5,2,heavy,2015,2019,https://boxrec.com/en/proboxer/716182
306,"USA, West Virginia",Cody Wilson,male,5,2,0,super welter,2018,2019,https://boxrec.com/en/proboxer/846090
306,"USA, West Virginia, Charleston",Joel Guevara,male,4,6,1,middle,2015,2019,https://boxrec.com/en/proboxer/729544
306,"USA, West Virginia, Charleston",Zack Kuhn,male,9,5,1,super welter,2010,2019,https://boxrec.com/en/proboxer/536367
306,"USA, West Virginia",Coty Pierson,male,4,0,0,super middle,2013,2019,https://boxrec.com/en/proboxer/667183
306,"USA, West Virginia",Tim Farnsworth,male,3,0,0,heavy,2018,2019,https://boxrec.com/en/proboxer/833237
306,"USA, West Virginia",Mike Conway,male,3,2,1,super light,2016,2019,https://boxrec.com/en/proboxer/780224
306,"USA, West Virginia",Michael Brock Willis,male,1,4,1,cruiser,2018,2019,https://boxrec.com/en/proboxer/837925
307,"USA, Pennsylvania, Monroeville",Dammeon Campbell,male,0,3,0,light,2005,2019,https://boxrec.com/en/proboxer/301918
308,"USA, New York, Lindenhurst",Alicia Napoleon Espinosa,female,12,1,0,middle,2014,2019,https://boxrec.com/en/proboxer/693925
310,"USA, New York, Yonkers",Argenis Mendez,male,25,5,3,super light,2006,2019,https://boxrec.com/en/proboxer/378733
310,"USA, New York, Yonkers",Emilio Salas,male,6,3,1,cruiser,2012,2019,https://boxrec.com/en/proboxer/599133
310,"USA, New York, Yonkers",Jermaine Corley,male,3,7,0,super welter,2016,2019,https://boxrec.com/en/proboxer/771842
310,"USA, New York, Yonkers",Bryant Pappas,male,19,2,1,middle,2005,2019,https://boxrec.com/en/proboxer/297049
310,"USA, New York, Yonkers",Bertha Aracil,female,4,0,2,super welter,2014,2019,https://boxrec.com/en/proboxer/687533
310,"USA, New York, Yonkers",Abner Guadalupe,male,2,1,1,middle,2017,2019,https://boxrec.com/en/proboxer/804305
310,"USA, New York, Mount Vernon",Antonio Lucaine,male,0,1,0,feather,2019,2019,https://boxrec.com/en/proboxer/887608
310,"USA, New York, Yonkers",Jean Hernandez,male,0,2,0,welter,2013,2019,https://boxrec.com/en/proboxer/667555
310,"USA, North Carolina, Shelby",Howard Thompson,male,0,6,0,super welter,2017,2019,https://boxrec.com/en/proboxer/796122
310,"USA, New York, Yonkers",Angel Cotto,male,0,1,0,welter,2019,2019,https://boxrec.com/en/proboxer/865765
310,"USA, North Carolina, Shelby",Fred Thornton,male,0,2,0,light,2019,2019,https://boxrec.com/en/proboxer/876190
310,"USA, New York, Yonkers",Rondell McGee,male,0,2,0,super welter,2019,2019,https://boxrec.com/en/proboxer/881172
311,"USA, New York, New Rochelle",Don Haynesworth,male,16,3,1,heavy,2014,2019,https://boxrec.com/en/proboxer/698036
311,"USA, New York, New Rochelle",Natalie Gonzalez,female,6,0,0,fly,2016,2019,https://boxrec.com/en/proboxer/744107
311,"USA, New York, Wyandanch",Terell Bostic,male,4,1,0,super light,2015,2019,https://boxrec.com/en/proboxer/723834
314,"USA, Pennsylvania, Pittsburgh",Matt Conway,male,17,1,0,super feather,2015,2019,https://boxrec.com/en/proboxer/721546
314,"USA, Pennsylvania, Pittsburgh",Bill Hutchinson,male,18,2,4,super light,2011,2019,https://boxrec.com/en/proboxer/566043
314,"USA, Pennsylvania, Pittsburgh",Lyubomyr Pinchuk,male,11,1,1,cruiser,2017,2019,https://boxrec.com/en/proboxer/792496
314,"USA, Pennsylvania, Pittsburgh",Gerald Sherrell,male,10,2,0,middle,2016,2019,https://boxrec.com/en/proboxer/750017
314,"USA, Pennsylvania, Pittsburgh",Morgan Fitch,male,19,4,1,super middle,2010,2019,https://boxrec.com/en/proboxer/538873
314,"USA, Pennsylvania, Pittsburgh",Oleg Dovhun,male,9,0,0,super bantam,2017,2019,https://boxrec.com/en/proboxer/623026
314,"USA, Pennsylvania, Pittsburgh",Justin Steave,male,10,3,0,super welter,2014,2019,https://boxrec.com/en/proboxer/677793
314,"USA, Pennsylvania, Pittsburgh",Charles Mulindwa,male,14,6,1,welter,2012,2018,https://boxrec.com/en/proboxer/637104
314,"USA, Pennsylvania, Pittsburgh",Justin Johnson,male,6,22,6,welter,2008,2019,https://boxrec.com/en/proboxer/479738
314,"USA, Pennsylvania, Pittsburgh",Kelvin Smith,male,2,2,0,light,2017,2019,https://boxrec.com/en/proboxer/803347
314,"USA, Pennsylvania, Pittsburgh",Richie Cantolina,male,5,0,0,light heavy,2017,2019,https://boxrec.com/en/proboxer/816440
314,"USA, Pennsylvania, Pittsburgh",Robert Weisen,male,1,0,0,cruiser,2019,2019,https://boxrec.com/en/proboxer/888434
314,"USA, Pennsylvania, Pittsburgh",Jarrell Brackett,male,2,3,0,light heavy,2018,2019,https://boxrec.com/en/proboxer/831582
314,"USA, Pennsylvania, Pittsburgh",Michael Manna,male,3,2,0,heavy,2018,2019,https://boxrec.com/en/proboxer/837926
315,"USA, Pennsylvania, Scranton",Ryan Wilczak,male,9,0,0,middle,2016,2019,https://boxrec.com/en/proboxer/763735
315,"USA, Pennsylvania, Scranton",Nelson Morales,male,1,0,0,welter,2019,2019,https://boxrec.com/en/proboxer/889361
316,"USA, West Virginia, Saint Albans",David Griffith,male,9,0,0,light heavy,2016,2019,https://boxrec.com/en/proboxer/773321
316,"USA, West Virginia, Saint Albans",Jermaine Walker,male,6,3,0,cruiser,2012,2019,https://boxrec.com/en/proboxer/610625
317,"USA, New York, Huntington",Chris Algieri,male,24,3,0,super light,2008,2019,https://boxrec.com/en/proboxer/449201
317,"USA, New York, Huntington",Wendy Toussaint,male,10,0,0,super welter,2013,2019,https://boxrec.com/en/proboxer/657916
317,"USA, New York, Huntington",Johnny Hernandez,male,10,4,0,super light,2014,2019,https://boxrec.com/en/proboxer/699448
317,"USA, New York, Huntington",Moses Johnson,male,5,0,0,heavy,2018,2019,https://boxrec.com/en/proboxer/829185
319,"USA, New York, Port Chester",Carlos Vanegas Nunez,male,3,0,0,feather,2019,2019,https://boxrec.com/en/proboxer/856328
319,"USA, New York, Port Chester",Lee Rodriguez,male,1,1,0,super welter,2018,2019,https://boxrec.com/en/proboxer/843513
321,"USA, Connecticut, Greenwich",John Gjini,male,4,0,0,super feather,2019,2019,https://boxrec.com/en/proboxer/872029
321,"USA, West Virginia, Ripley",Joel Baker,male,0,0,0,cruiser,2019,2019,https://boxrec.com/en/proboxer/876973
322,"USA, West Virginia, Wheeling",Eric Bledsoe,male,7,1,1,super welter,2015,2019,https://boxrec.com/en/proboxer/726674
324,"USA, Pennsylvania, Hawley",Lamont Capers,male,9,14,5,heavy,2012,2019,https://boxrec.com/en/proboxer/633021
324,"USA, West Virginia, Warwood",Philip Ryan Carroll,male,1,0,0,light,2019,2019,https://boxrec.com/en/proboxer/883421
325,"USA, Connecticut, Stamford",Chordale Booker,male,15,0,0,super welter,2016,2019,https://boxrec.com/en/proboxer/748808
325,"USA, New York, Bellport",Alex Vargas,male,4,0,0,welter,2018,2019,https://boxrec.com/en/proboxer/847330
325,"USA, Connecticut, Stamford",Francisco Rodriguez,male,4,7,1,super feather,2005,2019,https://boxrec.com/en/proboxer/373013
327,"USA, West Virginia, Parkersburg",Preston Wilson,male,6,3,1,welter,2014,2019,https://boxrec.com/en/proboxer/682287
327,"USA, West Virginia, Parkersburg",Stephen Dailey,male,1,1,1,super light,2018,2019,https://boxrec.com/en/proboxer/833236
327,"USA, West Virginia, Parkersburg",Steve Whitehair,male,1,8,0,welter,2013,2019,https://boxrec.com/en/proboxer/211494
327,"USA, West Virginia, Parkersburg",Machiavelli Farrakhan Siberius,male,0,6,0,heavy,2017,2019,https://boxrec.com/en/proboxer/804504
329,"USA, New York, Shirley",LeShawn Rodriquez,male,11,0,0,middle,2016,2019,https://boxrec.com/en/proboxer/748389
330,"USA, West Virginia, Follansbee",Aaron Quattrocchi,male,11,3,1,super middle,2013,2019,https://boxrec.com/en/proboxer/663194
330,"USA, West Virginia, Follansbee",Shianne Gist,female,4,1,2,welter,2016,2018,https://boxrec.com/en/proboxer/763875
331,"USA, South Carolina, Columbia",Logan Holler,female,8,0,1,super welter,2014,2019,https://boxrec.com/en/proboxer/698083
331,"USA, South Carolina, Columbia",Jaylon Pridgeon,male,7,0,0,super light,2017,2019,https://boxrec.com/en/proboxer/821076
331,"USA, South Carolina, Columbia",Davey Louis Vega Sanabria,male,5,0,0,heavy,2016,2019,https://boxrec.com/en/proboxer/761172
331,"USA, South Carolina, Columbia",Michael Whaley,male,1,1,0,super bantam,2019,2019,https://boxrec.com/en/proboxer/871013
332,"USA, Connecticut, Norwalk",Shakha Moore,male,12,24,3,welter,1996,2019,https://boxrec.com/en/proboxer/18533
334,"USA, Ohio, Belmont",Travis Clark,male,14,2,0,heavy,2009,2019,https://boxrec.com/en/proboxer/500433
334,"USA, Pennsylvania, Butler",Lucas Adams,male,1,1,0,light heavy,2019,2019,https://boxrec.com/en/proboxer/870102
334,"USA, Pennsylvania, Butler",Ryan Covert,male,2,2,0,heavy,2008,2019,https://boxrec.com/en/proboxer/457037
334,"USA, Ohio, Steubenville",Glenn Mitchell,male,3,4,0,welter,2015,2019,https://boxrec.com/en/proboxer/729229
335,"USA, Tennessee, Johnson City",Roy King,male,12,4,1,light heavy,2014,2019,https://boxrec.com/en/proboxer/694090
335,"USA, Tennessee, Johnson City",Brad Austin,male,13,30,0,cruiser,2000,2019,https://boxrec.com/en/proboxer/15883
335,"USA, Tennessee, Johnson City",Adam Townsend,male,3,0,0,super middle,2015,2019,https://boxrec.com/en/proboxer/709261
335,"USA, Tennessee, Johnson City",Dustin Long,male,2,1,2,heavy,2015,2019,https://boxrec.com/en/proboxer/741274
335,"USA, Tennessee, Johnson City",Nicholas Jewell,male,0,1,0,cruiser,2019,2019,https://boxrec.com/en/proboxer/870165
339,"USA, South Carolina, Spartanburg",Michael Blocker,male,0,3,0,welter,2015,2019,https://boxrec.com/en/proboxer/715751
342,"USA, Connecticut, Bridgeport",Carlos Hernandez,male,4,3,1,super light,2010,2019,https://boxrec.com/en/proboxer/536008
342,"USA, Connecticut, Bridgeport",Oscar Bonilla,male,6,3,2,super light,2011,2019,https://boxrec.com/en/proboxer/572172
342,"USA, Connecticut, Bridgeport",Jacob Marrero,male,4,0,0,super feather,2018,2019,https://boxrec.com/en/proboxer/849566
343,"USA, New York, Newburgh",Tre'Sean Wiggins,male,11,4,3,super light,2010,2019,https://boxrec.com/en/proboxer/539150
343,"USA, Pennsylvania, Beaver Falls",Kiante Irving,male,6,0,0,super middle,2018,2019,https://boxrec.com/en/proboxer/847472
343,"USA, South Carolina",Angel Gladney,female,10,15,1,super feather,2009,2019,https://boxrec.com/en/proboxer/480557
343,"USA, South Carolina",Paul Carroll,male,2,1,0,super bantam,2017,2019,https://boxrec.com/en/proboxer/805232
343,"USA, South Carolina",Gilberto Jacobs,male,3,6,0,super middle,1989,2019,https://boxrec.com/en/proboxer/641858
343,"USA, South Carolina",Mark Anderson,male,3,17,1,middle,2010,2019,https://boxrec.com/en/proboxer/550129
343,"USA, South Carolina",Darryl Watson,male,1,13,0,super feather,2008,2019,https://boxrec.com/en/proboxer/459832
343,"USA, South Carolina",Michael Smith,male,0,5,0,feather,2017,2019,https://boxrec.com/en/proboxer/805234
343,"USA, South Carolina",Kenny Hill,male,0,2,0,middle,2018,2019,https://boxrec.com/en/proboxer/835515
343,"USA, South Carolina",Deon Johnson,male,0,4,0,super fly,2018,2019,https://boxrec.com/en/proboxer/848060
343,"USA, South Carolina",Shawn Nelson,male,0,3,0,cruiser,2018,2019,https://boxrec.com/en/proboxer/849742
343,"USA, South Carolina",Darius Taylor,male,0,1,0,,2019,2019,https://boxrec.com/en/proboxer/883600
344,"USA, South Carolina, Swansea",Solon Staley,male,1,4,0,welter,2017,2019,https://boxrec.com/en/proboxer/821079
345,"USA, New York, Carmel",Alex Vanasse,male,4,1,0,cruiser,2015,2019,https://boxrec.com/en/proboxer/710004
345,"USA, South Carolina, Summerville",Coy Lanbert,male,6,21,0,middle,2012,2019,https://boxrec.com/en/proboxer/600172
346,"USA, Pennsylvania, Ellwood City",Rosalindo Morales,male,3,0,0,light,2017,2019,https://boxrec.com/en/proboxer/805249
346,"USA, Ohio, Gallipolis",Treavon Craycraft,male,2,0,0,middle,2018,2019,https://boxrec.com/en/proboxer/860408
348,"USA, Connecticut, Danbury",Omar Bordoy,male,9,1,0,super light,2017,2019,https://boxrec.com/en/proboxer/797502
348,"USA, Virginia, Falls Church",Stacey Anderson,male,0,6,0,welter,2015,2019,https://boxrec.com/en/proboxer/711700
348,"USA, South Carolina, Charleston",Therran Smalls,male,0,6,0,middle,2015,2019,https://boxrec.com/en/proboxer/713107
349,"USA, West Virginia, Huntington",Marcus Coney,male,2,2,1,light,2012,2019,https://boxrec.com/en/proboxer/623419
349,"USA, West Virginia, Huntington",Hassan Haggler,male,1,3,0,super middle,2018,2019,https://boxrec.com/en/proboxer/844569
351,"USA, New York, Liberty",Bryant Costello,male,1,1,0,super welter,2018,2019,https://boxrec.com/en/proboxer/837016
353,"USA, Connecticut, Derby",Nicholas Lavin,male,5,11,0,cruiser,2010,2019,https://boxrec.com/en/proboxer/548357
356,"USA, North Carolina, Asheville",Maurice Jones,male,6,0,0,heavy,2015,2019,https://boxrec.com/en/proboxer/713809
356,"USA, New York, Kerhonkson",Tim Skolnik,male,2,0,1,heavy,2008,2018,https://boxrec.com/en/proboxer/446065
356,"USA, Ohio, South Point",Chris Brown,male,2,5,2,heavy,2006,2019,https://boxrec.com/en/proboxer/372878
356,"USA, West Virginia, Kenova",Ethan Hayes,male,1,0,0,super welter,2019,2019,https://boxrec.com/en/proboxer/897213
357,"USA, Connecticut, New Haven",Chad Dawson,male,36,5,0,light heavy,2001,2019,https://boxrec.com/en/proboxer/60393
357,"USA, Connecticut, New Haven",Tramaine Williams,male,19,0,0,super bantam,2012,2019,https://boxrec.com/en/proboxer/604764
357,"USA, Connecticut, New Haven",Charles Foster,male,19,0,0,light heavy,2011,2019,https://boxrec.com/en/proboxer/572175
357,"USA, Connecticut, New Haven",William Foster III,male,10,0,0,super feather,2015,2019,https://boxrec.com/en/proboxer/713830
357,"USA, Connecticut, New Haven",Elvin Ayala,male,29,13,1,super welter,2003,2019,https://boxrec.com/en/proboxer/213606
357,"USA, Connecticut, New Haven",Jimmy Williams,male,16,3,2,super welter,2013,2019,https://boxrec.com/en/proboxer/638170
357,"USA, Connecticut, New Haven",Elvis Figueroa,male,7,0,0,super middle,2017,2019,https://boxrec.com/en/proboxer/790295
357,"USA, Connecticut, New Haven",Anuel Rosa,male,2,0,0,super light,2018,2019,https://boxrec.com/en/proboxer/834824
357,"USA, Kentucky, Catlettsburg",Cory Phelps,male,16,12,1,heavy,2005,2019,https://boxrec.com/en/proboxer/296521
357,"USA, Connecticut, East Haven",Marisa Messer-Belenchia,female,1,0,0,super fly,2019,2019,https://boxrec.com/en/proboxer/880737
358,"USA, New York, Highland",Daniel Sostre,male,13,20,1,welter,2005,2019,https://boxrec.com/en/proboxer/375824
360,"USA, New York, East Hampton",Juan Mancilla,male,1,1,0,middle,2016,2019,https://boxrec.com/en/proboxer/770638
361,"USA, Kentucky, Ashland",Travis Hanshaw,male,15,1,1,super middle,2011,2019,https://boxrec.com/en/proboxer/579040
361,"USA, Kentucky, Ashland",Bill Yates,male,5,2,0,cruiser,2016,2019,https://boxrec.com/en/proboxer/749493
361,"USA, Kentucky, Ashland",Thomas Hanshaw,male,11,8,0,cruiser,2011,2019,https://boxrec.com/en/proboxer/588138
361,"USA, Kentucky, Ashland",Luke Lyons,male,5,2,1,heavy,2016,2018,https://boxrec.com/en/proboxer/758297
361,"USA, New York, Elmira",Vinnie Denierio,male,3,7,0,light,2016,2019,https://boxrec.com/en/proboxer/770491
362,"USA, Connecticut, Hamden",Helen Joseph,female,17,3,2,bantam,2004,2019,https://boxrec.com/en/proboxer/367027
363,"USA, Tennessee, Greeneville",Steven New,male,0,0,1,super middle,2019,2019,https://boxrec.com/en/proboxer/880188
364,"USA, Ohio, Ironton",Adam Collins,male,14,15,0,cruiser,2004,2018,https://boxrec.com/en/proboxer/247535
364,"USA, Ohio, Lowellville",Rocco Nolfi,male,0,0,1,heavy,2019,2019,https://boxrec.com/en/proboxer/872565
368,"USA, Connecticut, Waterbury",Jair Ramos,male,5,3,2,welter,2011,2019,https://boxrec.com/en/proboxer/591432
371,"USA, Ohio, Youngstown",Willie Nelson,male,27,3,1,super welter,2006,2019,https://boxrec.com/en/proboxer/356205
371,"USA, Ohio, Youngstown",Alejandro Salinas,male,10,3,0,light,2014,2019,https://boxrec.com/en/proboxer/703859
371,"USA, Ohio, Youngstown",Danny Rosenberger,male,6,7,4,middle,2015,2019,https://boxrec.com/en/proboxer/722689
371,"USA, Ohio, Youngstown",Vincent O'Neill,male,4,2,1,super light,2005,2018,https://boxrec.com/en/proboxer/306156
371,"USA, Ohio, Youngstown",Lavelle Hadley,male,3,4,0,super middle,2014,2018,https://boxrec.com/en/proboxer/703868
371,"USA, Ohio, Zanesville",Brandon Alexander,male,4,0,0,super welter,2015,2019,https://boxrec.com/en/proboxer/739749
371,"USA, Ohio, Youngstown",Anthony Congemi,male,1,0,0,heavy,2018,2018,https://boxrec.com/en/proboxer/846384
371,"USA, Ohio, Youngstown",Anthony Taylor,male,4,4,0,super bantam,2015,2019,https://boxrec.com/en/proboxer/741480
371,"USA, Ohio, Youngstown",Daniel Infante,male,1,3,0,heavy,2018,2019,https://boxrec.com/en/proboxer/848749
371,"USA, Ohio, Youngstown",John Gregory,male,2,2,0,welter,2014,2019,https://boxrec.com/en/proboxer/703870
371,"USA, Ohio, Zanesville",Steven Chesnik,male,0,12,0,light heavy,2014,2019,https://boxrec.com/en/proboxer/682288
373,"USA, Connecticut",Carlos Marrero,male,2,3,1,light,2017,2019,https://boxrec.com/en/proboxer/814938
378,"USA, Ohio, Alliance",Ryizeemmion Ford,male,3,0,0,light,2019,2019,https://boxrec.com/en/proboxer/846518
380,"USA, South Carolina, Aiken",Javier Frazier,male,8,12,1,middle,2013,2019,https://boxrec.com/en/proboxer/644471
380,"USA, South Carolina, Aiken",Keasen Freeman,male,4,8,0,super light,2017,2019,https://boxrec.com/en/proboxer/786399
380,"USA, South Carolina, Aiken",Kevin Mario Cooper,male,1,20,1,welter,2014,2019,https://boxrec.com/en/proboxer/703292
381,"USA, Ohio, Beaver Creek",Nicholas Rodriguez,male,1,11,1,super feather,2014,2019,https://boxrec.com/en/proboxer/704564
382,"USA, Connecticut, New Britain",Nathan Martinez,male,6,0,0,feather,2018,2019,https://boxrec.com/en/proboxer/834825
382,"USA, Ohio, Lake Milton",Tyler Collins,male,0,2,0,middle,2019,2019,https://boxrec.com/en/proboxer/877970
384,"USA, Connecticut, New London",Cassius Chaney,male,17,0,0,heavy,2015,2019,https://boxrec.com/en/proboxer/715608
384,"USA, Connecticut, Groton",Marcia Agripino,female,3,2,1,super bantam,2013,2019,https://boxrec.com/en/proboxer/656338
384,"USA, Ohio, Warren",Marlon Williams,male,5,1,0,heavy,2015,2019,https://boxrec.com/en/proboxer/718698
390,"USA, Connecticut, Hartford",Richard Rivera,male,14,0,0,cruiser,2017,2019,https://boxrec.com/en/proboxer/784475
390,"USA, Connecticut, Hartford",Mike Oliver,male,26,10,1,feather,2001,2018,https://boxrec.com/en/proboxer/64303
390,"USA, Connecticut, Hartford",Sharad Collier,male,4,0,1,light,2018,2019,https://boxrec.com/en/proboxer/834826
390,"USA, Connecticut, Hartford",Anthony Ortiz,male,1,0,0,super fly,2019,2019,https://boxrec.com/en/proboxer/897576
390,"USA, Connecticut, Hartford",Victor Medina,male,1,0,0,super bantam,2019,2019,https://boxrec.com/en/proboxer/861544
390,"USA, Connecticut, Hartford",Jonathan Figueroa,male,2,2,0,welter,2016,2019,https://boxrec.com/en/proboxer/771631
391,"USA, Connecticut, East Hartford",Mykquan Williams,male,15,0,1,super light,2016,2019,https://boxrec.com/en/proboxer/754671
391,"USA, Connecticut, East Hartford",Anthony Laureano,male,12,0,0,super light,2016,2019,https://boxrec.com/en/proboxer/771633
391,"USA, Ohio, Lancaster",Cory Schooley,male,0,3,1,heavy,2016,2019,https://boxrec.com/en/proboxer/763494
392,"USA, New York, Jamestown",Davmond Carter,male,1,2,1,heavy,2018,2019,https://boxrec.com/en/proboxer/847238
394,"USA, South Carolina, North Augusta",Desmond Lyons,male,6,1,0,super light,2018,2019,https://boxrec.com/en/proboxer/838260
395,"USA, Georgia, Augusta",Justin DeLoach,male,18,4,0,welter,2013,2019,https://boxrec.com/en/proboxer/647963
395,"USA, Connecticut, Manchester",Jose Carlos Rivera,male,8,4,1,super welter,2016,2019,https://boxrec.com/en/proboxer/766400
395,"USA, Georgia, Augusta",Brandon Spencer,male,8,18,2,heavy,2010,2019,https://boxrec.com/en/proboxer/555645
395,"USA, Georgia, Augusta",Aaron Casper,male,5,3,0,light heavy,2017,2019,https://boxrec.com/en/proboxer/783653
