miles,location,name,sex,w,l,d,division,from,to,players_links
836,"USA, Missouri, Hannibal",Steve Walker,male,26,36,0,cruiser,1996,2018,https://boxrec.com/en/proboxer/27349
836,"USA, Missouri, Hannibal",Donnie Reeves,male,3,5,0,feather,2017,2019,https://boxrec.com/en/proboxer/795078
836,"USA, Missouri, Hannibal",Brant Dooley,male,1,0,0,heavy,2019,2019,https://boxrec.com/en/proboxer/870804
836,"USA, Missouri, Hannibal",Jayce Rickey,male,1,0,0,super welter,2019,2019,https://boxrec.com/en/proboxer/870809
836,"USA, Missouri, Hannibal",Dakota Laster,male,2,7,1,super feather,2017,2019,https://boxrec.com/en/proboxer/795079
836,"USA, Missouri, Hannibal",Tyler Franklin,male,0,3,0,super light,2016,2019,https://boxrec.com/en/proboxer/752630
836,"USA, Missouri, Hannibal",Lucky Holt,male,0,4,0,super bantam,2018,2019,https://boxrec.com/en/proboxer/830082
836,"USA, Missouri, Hannibal",Jason Saxbury,male,0,2,1,heavy,2019,2019,https://boxrec.com/en/proboxer/870805
836,"USA, Missouri, Hannibal",Justin Ray,male,0,1,0,light heavy,2019,2019,https://boxrec.com/en/proboxer/870806
843,"USA, Mississippi, Ocean Springs",Chris Polk,male,4,1,2,cruiser,2017,2019,https://boxrec.com/en/proboxer/798307
846,"USA, Iowa, Muscatine",Lance Williams,male,7,12,0,super feather,2009,2019,https://boxrec.com/en/proboxer/500670
847,"USA, Mississippi, Jackson",Chown Sims,male,3,1,0,super middle,2019,2019,https://boxrec.com/en/proboxer/863743
847,"USA, Mississippi, Jackson",Billy Cunningham,male,9,36,1,light heavy,2007,2019,https://boxrec.com/en/proboxer/396127
851,"USA, Iowa, East Duduque",Earnest Walls,male,0,4,0,light,2019,2019,https://boxrec.com/en/proboxer/870983
852,"USA, Iowa, Dubuque",Erik Vo,male,0,5,0,super welter,2014,2018,https://boxrec.com/en/proboxer/700699
854,"USA, Arkansas, Batesville",Rogelio Casarez,male,13,8,0,welter,2012,2019,https://boxrec.com/en/proboxer/628135
858,"USA, Mississippi, Gulfport",Gevonte Davis,male,5,8,1,light heavy,2007,2019,https://boxrec.com/en/proboxer/423396
858,"USA, Mississippi, Gulfport",Najik Lewis,male,3,3,1,welter,2017,2019,https://boxrec.com/en/proboxer/808717
858,"USA, Mississippi, Gulfport",Troy Buckhalter,male,0,1,0,super feather,2019,2019,https://boxrec.com/en/proboxer/855641
859,"USA, Missouri, Mexico",Eddie Jones,male,6,4,0,heavy,2008,2019,https://boxrec.com/en/proboxer/453557
860,"USA, Missouri, Fulton",Stephen Derstine,male,6,8,0,welter,2016,2019,https://boxrec.com/en/proboxer/752633
866,"USA, Missouri, Dixon",Misty Woolery,female,0,1,0,welter,2018,2018,https://boxrec.com/en/proboxer/861261
867,"USA, Louisiana, Rolling Fork",Kevin Green,male,4,0,1,middle,2017,2019,https://boxrec.com/en/proboxer/800523
871,"USA, Missouri, Jefferson City",Jesse Bryan,male,17,3,2,cruiser,2003,2019,https://boxrec.com/en/proboxer/179673
871,"USA, Missouri, Jefferson City",Leroy Childs,male,13,3,0,heavy,2002,2019,https://boxrec.com/en/proboxer/137288
871,"USA, Missouri, Jefferson City",Noah Kidd,male,4,2,1,super welter,2016,2019,https://boxrec.com/en/proboxer/765830
871,"USA, Missouri, Jefferson City",John Brewer,male,3,3,1,super welter,2011,2019,https://boxrec.com/en/proboxer/589671
871,"USA, Missouri, Jefferson City",Armondo Reeves,male,2,3,2,light heavy,2016,2019,https://boxrec.com/en/proboxer/765940
871,"USA, Missouri, Shelbina",Austin Bickerman,male,1,1,0,cruiser,2017,2019,https://boxrec.com/en/proboxer/795074
871,"USA, Wisconsin, Blackwell",Ira Frank,male,2,4,0,middle,2015,2018,https://boxrec.com/en/proboxer/723397
871,"USA, Missouri, Jefferson City",Harold Curry,male,4,3,1,cruiser,2005,2019,https://boxrec.com/en/proboxer/294299
871,"USA, Missouri, Shelbina",Brandon Bailey,male,0,3,1,light,2018,2019,https://boxrec.com/en/proboxer/830088
871,"USA, Missouri, Jefferson City",June Shinkut,male,0,4,0,super welter,2018,2019,https://boxrec.com/en/proboxer/845824
