,name,wins,draws,losses,location,division,average_weight,average_opponent_weight,opp_points,bouts_fought,win by knockout,win by split decision,win by technical knockout,win by unanimous decision,sex,total_points
2726,Angela Galvan,2.0,0.0,0.0,"USA, Colorado, Denver",bantam,117.625,118.375,0.0,2.0,0.0,0.0,1.0,1.0,female,20.0
2727,Joseph Ray Muniz,3.0,0.0,4.0,"USA, Colorado, Denver",feather,124.83333333333333,124.33333333333333,0.0,7.0,0.0,0.0,1.0,2.0,male,-10.0
2728,Shannon Kristene Sinn,2.0,1.0,0.0,"USA, Colorado, Thornton",feather,127.66666666666667,128.33333333333334,0.0,3.0,0.0,0.0,0.0,2.0,female,25.0
2729,James Avila,1.0,0.0,0.0,"USA, Colorado, Denver",light fly,108.0,108.5,0.0,1.0,0.0,0.0,0.0,1.0,male,10.0
2730,Houssam El Kasri,1.0,0.0,0.0,"USA, Colorado, Denver",welter,147.0,147.0,0.0,1.0,0.0,0.0,0.0,1.0,male,10.0
2731,Jairo Delgado,3.0,0.0,11.0,"USA, Colorado, Denver",super feather,126.08928571428571,126.14285714285714,5.357142857142857,14.0,0.0,0.0,3.0,0.0,male,-74.64285714285714
2732,Chris Arguello,1.0,1.0,8.0,"USA, Colorado, Denver",super welter,159.9,160.35,9.0,10.0,0.0,0.0,1.0,0.0,male,-56.0
2733,Isiah Barela,4.0,0.0,8.0,"USA, Colorado, Denver",heavy,211.27272727272728,225.9090909090909,7.5,12.0,1.0,0.0,2.0,1.0,male,-32.5
2734,Kathryn Julia Paprocki,1.0,0.0,0.0,"USA, Colorado, Denver",feather,114.0,114.0,0.0,1.0,0.0,0.0,0.0,0.0,female,10.0
2735,Genesis Wynn,1.0,0.0,1.0,"USA, Colorado, Denver",welter,145.625,146.5,0.0,2.0,0.0,0.0,0.0,0.0,male,16.736842105263158
2736,David Salazar,0.0,0.0,1.0,"USA, Colorado, Denver",heavy,216.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
2737,Arlie Rogers,0.0,0.0,1.0,"USA, Colorado, Denver",super welter,152.75,153.75,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
2738,Angelina Hoffschneider,0.0,0.0,1.0,"USA, Colorado, Denver",bantam,128.0,125.5,0.0,1.0,0.0,0.0,0.0,0.0,female,-10.0
2739,Dustin Jacoby,1.0,0.0,0.0,"USA, Colorado, Littleton",heavy,210.0,195.0,0.0,1.0,0.0,0.0,0.0,0.0,male,10.0
2740,Demetrius Romeo Mora,0.0,0.0,3.0,"USA, Colorado, Littleton",light,133.75,133.625,0.0,3.0,0.0,0.0,0.0,0.0,male,-30.0
2741,Johnny Rodriguez,9.0,1.0,5.0,"USA, Colorado, Westminster",super light,,,0.0,15.0,,,,,male,45.0
2742,Fidel Martinez,2.0,1.0,1.0,"USA, Colorado, Westminster",super welter,152.0,151.0,0.0,4.0,1.0,0.0,1.0,0.0,male,15.0
