,Unnamed: 0,name,wins,losses,draws,average_weight,sex,division,Jab accuracy,Power punch accuracy,Total punch accuracy,Avg Jabs landed,Avg Power punches landed,Avg Total punches landed,% of Power punches landed against,% of Jabs landed against,% of Total punches landed against,Avg Jabs landed against,Avg Power punches landed against,Avg Total punches landed against
51,51,Edgar Berlanga,12.0,0.0,0.0,161.92,male,middle,43.75,48.21,47.22,7.0,27.0,34.0,25.0,0.0,12.0,0.0,3.0,3.0
52,52,Sharif Bogere,32.0,2.0,0.0,136.66,male,light,26.75,39.85,34.01,52.8,97.8,150.6,34.91,20.64,29.33,24.6,64.8,89.4
53,53,Chordale Booker,15.0,0.0,0.0,155.0,male,super welter,13.65,51.86,33.22,38.5,153.5,192.0,22.77,10.23,17.14,22.0,60.0,82.0
54,54,Rydell Booker,26.0,2.0,0.0,,male,heavy,16.94,44.77,27.06,51.0,77.0,128.0,23.21,7.96,16.16,23.0,78.0,101.0
55,55,Darnell Boone,24.0,25.0,5.0,163.84,male,light heavy,17.56,29.65,24.42,23.0,51.0,74.0,40.56,31.68,36.59,64.0,101.0,165.0
56,56,Clarence Booth,17.0,4.0,0.0,144.26,male,welter,19.35,42.59,34.12,6.0,23.0,29.0,20.0,18.18,19.44,2.0,5.0,7.0
57,57,Gabriel Bracero,25.0,4.0,1.0,,male,super light,24.26,33.94,29.03,61.5,83.5,145.0,24.89,11.85,18.49,25.0,54.5,79.5
58,58,Rob Brant,25.0,2.0,0.0,159.48,male,middle,19.89,36.56,28.5,24.0,47.17,71.17,33.28,15.49,25.73,25.17,73.33,98.5
59,59,Dominic Breazeale,20.0,2.0,0.0,,male,heavy,17.47,38.2,28.68,22.36,57.55,79.91,39.33,24.09,32.85,24.64,54.45,79.09
60,60,Cobia Breedy,14.0,0.0,0.0,130.23,male,feather,25.6,31.0,29.29,32.0,84.0,116.0,21.74,1.25,17.13,1.0,60.0,61.0
61,61,Prenice Brewer,21.0,4.0,1.0,140.53,male,welter,33.09,40.55,38.14,46.0,118.0,164.0,39.1,15.38,32.96,18.0,131.0,149.0
62,62,Nick Brinson,19.0,5.0,2.0,163.4,male,middle,0.0,41.03,39.02,0.0,16.0,16.0,14.29,0.0,5.88,0.0,1.0,1.0
63,63,Adrien Broner,33.0,4.0,1.0,,male,welter,25.52,42.59,35.78,35.63,89.68,125.32,33.13,17.61,26.9,32.26,90.32,122.58
64,64,Burley Brooks,4.0,0.0,0.0,169.31,male,super middle,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
65,65,Alvin Brown,0.0,9.0,0.0,131.17,male,light,8.7,27.27,20.2,10.0,51.0,61.0,40.0,31.76,36.64,47.0,86.0,133.0
66,66,Jamison Brown,2.0,1.0,0.0,152.92,male,super welter,12.71,29.38,22.71,15.0,52.0,67.0,32.41,7.89,26.75,6.0,82.0,88.0
67,67,Vernon Brown,12.0,1.0,1.0,150.84,male,super welter,14.71,34.78,19.78,10.0,8.0,18.0,30.23,15.38,23.17,6.0,13.0,19.0
68,68,Lucas Browne,29.0,2.0,0.0,253.7,male,heavy,26.74,46.06,37.58,43.0,94.6,137.6,36.28,16.32,28.46,20.2,69.8,90.0
69,69,Marcus Browne,23.0,1.0,0.0,,male,light heavy,16.42,44.11,31.01,16.38,49.0,65.38,23.63,9.6,18.14,5.31,20.31,25.62
70,70,Stivens Bujaj,17.0,2.0,1.0,,male,cruiser,24.42,45.1,38.75,42.0,175.0,217.0,34.93,16.96,31.53,19.0,168.0,187.0
71,71,Radzhab Butaev,12.0,0.0,0.0,,male,welter,24.53,39.57,31.58,26.0,37.0,63.0,33.33,23.83,29.4,23.0,45.5,68.5
