,clean_outcome,date,division,gender+division,global_id,judge1boxer,judge1opp,judge2boxer,judge2opp,judge3boxer,judge3opp,meta,name,opp_draw,opp_last6,opp_loss,opp_weight,opp_win,opposition,rating,rounds1,rounds2,sex,weight,Draw,Loss KO,Loss Other,Win KO,Win Other,fight_count,judge1avg,judge2avg,judge3avg,judge1againstavg,judge2againstavg,judge3againstavg,avgpts,avgptsagainst,KO ratio,KnockedOut ratio,opp_fight_count,opp_lossKO,opp_lossOther,opp_winKO,opp_winOther,opp_avgpts,opp_avgptsagainst,opp_KO ratio,opp_KnockedOut ratio,opp_meta,weightratio,age,height,rating1,rating2,bmi,opp_age,opp_height,opp_bmi,age_ratio,height_ratio,bmi_ratio,Jab accuracy,Power punch accuracy,Total punch accuracy,Avg Jabs landed,Avg Power punches landed,Avg Total punches landed,% of Power punches landed against,% of Jabs landed against,% of Total punches landed against,Avg Jabs landed against,Avg Power punches landed against,Avg Total punches landed against,oppjabaccuracy,opppoweraccuracy,opptotalaccuracy,oppavgjabslanded,oppavgpowerlanded,oppavgtotallanded,opppercpowerlandedagainst,opppercejabslandedagainst,oppperctotallandedagainst,oppavgjabsagainst,oppavgpowerlandedagainst,oppavgtotalagainst,last6
4662,loss,2015-08-15,super welter,male super welter,726737,0,0,0,0,0,0,,Jordan Rosario,0.0,10.0,0.0,147.0,1.0,Caleb Hernandez,0 ,2,4,male,147,0.0,0.3076923076923077,0.46153846153846156,0.0,0.23076923076923078,13,25.23076923076923,25.46153846153846,25.846153846153847,27.076923076923077,26.846153846153847,26.615384615384617,59.30769230769231,62.794871794871796,0.0,0.02366863905325444,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,29,175,0.35,0.33,0.84,24.0,185.0,0.7945945945945946,1.2083333333333333,0.9459459459459459,1.0571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0
4675,loss,2019-04-27,super light,male super light,860258,0,0,0,0,0,0,,George Gethers,0.0,40.0,0.0,148.0,4.0,Cornell Hines,0 ,4,4,male,141,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.16666666666666666,0.3333333333333333,0.5,36.5,37.388888888888886,0.05555555555555555,0.0,,0.9527027027027027,30,170,0.24,0.22,0.8294117647058824,26.0,175.0,0.8457142857142858,1.1538461538461537,0.9714285714285714,0.9807233704292528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4676,win,2019-07-13,welter,male welter,884176,0,0,0,0,0,0,,Vito Mielnicki Jr,0.0,10.0,2.0,139.0,2.0,Tamarcus Smith,0 ,1,4,male,146,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.4,0.2,0.4,0.0,0.0,0.0,0.08,0.08,,1.0503597122302157,17,178,0.39,0.36,0.8202247191011236,24.0,175.0,0.7942857142857143,0.7083333333333334,1.0171428571428571,1.032657020451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
4678,win,2004-04-16,super middle,male super middle,256068,0,0,0,0,0,0,,Lennox Allen,0.0,0.0,2.0,,1.0,Troy Lewis,0 ,2,,male,0,0.043478260869565216,0.0,0.0,0.5652173913043478,0.391304347826087,23,23.869565217391305,23.82608695652174,23.782608695652176,22.304347826086957,22.304347826086957,22.304347826086957,55.62318840579711,52.04347826086956,0.024574669187145556,0.0,,,,,,,,,,,,34,185,0.96,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,60.0
4701,win,2018-03-27,welter,male welter,829463,0,0,0,0,0,0,,Brian Ceballo,0.0,10.0,0.0,151.0,1.0,Luis Alberto Lopez Longoria,0 ,1,4,male,145,0.0,0.0,0.0,0.45454545454545453,0.5454545454545454,11,25.181818181818183,25.0,25.181818181818183,23.0,23.181818181818183,22.90909090909091,58.57575757575758,53.81818181818183,0.04132231404958678,0.0,,,,,,,,,,,0.9602649006622517,25,180,0.95,0.92,0.8055555555555556,,,,,,,13.2,37.9,26.15,41.5,131.5,173.0,25.88,4.6,21.07,4.0,77.0,81.0,,,,,,,,,,,,,60.0
4712,win,2016-04-29,middle,male middle,760625,10,8,10,8,10,8,,Edgar Berlanga,0.0,0.0,0.0,168.0,0.0,Jorge Pedroza,0 ,1,4,male,160,0.0,0.0,0.0,1.0,0.0,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.9444444444444446,1.5555555555555554,0.08333333333333333,0.0,,,,,,,,,,,0.9523809523809523,22,185,0.92,0.92,0.8648648648648649,,,,,,,43.75,48.21,47.22,7.0,27.0,34.0,25.0,0.0,12.0,0.0,3.0,3.0,,,,,,,,,,,,,60.0
4724,win,2016-01-29,feather,male feather,744106,40,36,39,37,40,36,,Jose Gonzalez,0.0,-30.0,7.0,123.75,1.0,Marquis Pierce,0 ,4,4,male,127,0.13333333333333333,0.0,0.0,0.2,0.6666666666666666,15,31.333333333333332,31.333333333333332,31.2,29.333333333333332,29.333333333333332,29.466666666666665,73.06666666666666,68.48888888888888,0.013333333333333334,0.0,15.0,0.4,0.5333333333333333,0.0,0.06666666666666667,34.37777777777777,36.4,0.0,0.02666666666666667,,1.0262626262626262,23,168,0.88,0.86,0.7559523809523809,30.0,157.0,0.7882165605095541,0.7666666666666667,1.070063694267516,0.9590668590668591,19.59,19.39,19.47,9.5,16.0,25.5,45.68,23.38,38.49,18.0,74.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4739,win,2017-03-04,welter,male welter,787807,0,0,0,0,0,0,,Richardson Hitchins,0.0,10.0,0.0,141.0,1.0,Mario Alberto Perez Navarro,0 ,1,4,male,141,0.0,0.0,0.0,0.3,0.7,10,37.5,37.3,37.4,34.2,34.5,34.3,87.26666666666667,80.13333333333334,0.03,0.0,,,,,,,,,,,1.0,22,178,0.83,0.83,0.7921348314606742,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,20.0
4749,win,2016-08-12,super light,male super light,769029,40,36,40,36,40,36,,Lawrence James Fryers,0.0,0.0,0.0,152.5,0.0,Simon Sayes,0 ,4,4,male,149,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.5384615384615384,13,36.15384615384615,36.0,36.07692307692308,33.69230769230769,33.84615384615385,33.76923076923077,84.17948717948718,78.7948717948718,0.02366863905325444,0.00591715976331361,,,,,,,,,,,0.9770491803278688,29,173,0.8200000000000001,0.5,0.861271676300578,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,45.0
4762,win,2018-06-29,light heavy,male light heavy,841198,0,0,0,0,0,0,,Travis Toledo,0.0,10.0,0.0,175.25,1.0,Marvin Johnson,0 ,2,4,male,170,0.0,0.0,0.0,0.75,0.25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,,,,,,,,,,,0.9700427960057061,31,175,0.78,0.8,0.9714285714285714,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,20.0
