,miles,location,name,sex,w,l,d,division,from,to,players_links,id
2849,1751,"USA, New Mexico, Las Cruces",Jamie Aguilera,male,1,0,0,light,2018,2018,https://boxrec.com/en/proboxer/859597,859597
2850,1751,"USA, New Mexico, Las Cruces",Edmond Guzman,male,2,0,0,light,2015,2018,https://boxrec.com/en/proboxer/738990,738990
2851,1752,"USA, Colorado, Grand Junction",Saul Holguin,male,9,5,2,welter,1997,2019,https://boxrec.com/en/proboxer/58918,58918
2852,1752,"USA, Colorado, Grand Junction",Cesar Holguin,male,10,8,2,welter,2004,2019,https://boxrec.com/en/proboxer/285920,285920
2853,1752,"USA, Colorado, Grand Junction",Orlando Salgado,male,1,0,0,light,2019,2019,https://boxrec.com/en/proboxer/882019,882019
2854,1752,"USA, Colorado, Grand Junction",Christina Breault,female,1,0,0,feather,2019,2019,https://boxrec.com/en/proboxer/881007,881007
2855,1752,"USA, Colorado, Grand Junction",Isaiah William Reyez,male,0,3,0,cruiser,2018,2019,https://boxrec.com/en/proboxer/859873,859873
2856,1764,"USA, New Mexico, Fruitland",Jazzma Hogue,male,3,10,1,feather,2010,2019,https://boxrec.com/en/proboxer/541556,541556
2857,1767,"USA, Colorado, Cortez",Emeka Ifekandu,male,1,3,0,super welter,2019,2019,https://boxrec.com/en/proboxer/883156,883156
2858,1799,"USA, New Mexico, Gallup",Ronald Baca,male,9,4,4,heavy,2014,2019,https://boxrec.com/en/proboxer/682793,682793
2859,1805,"USA, Utah, Cache Valley",Clay Collard,male,4,2,3,super middle,2017,2019,https://boxrec.com/en/proboxer/802494,802494
2860,1883,"USA, Montana, Bozeman",Tyler Vogel,male,3,3,0,cruiser,2016,2019,https://boxrec.com/en/proboxer/745032,745032
2861,1914,"USA, Montana, Great Falls",Billy Wagner,male,2,1,0,middle,2018,2019,https://boxrec.com/en/proboxer/847011,847011
2862,1914,"USA, Montana, Great Falls",Russell Wienholz,male,1,0,0,,2019,2019,https://boxrec.com/en/proboxer/890786,890786
2863,1914,"USA, Montana, Great Falls",Trinity Lopez,male,1,0,0,,2019,2019,https://boxrec.com/en/proboxer/890787,890787
2864,1914,"USA, Montana, Great Falls",Trevor Pasha,male,1,6,0,heavy,2004,2019,https://boxrec.com/en/proboxer/275683,275683
2865,1914,"USA, Montana, Great Falls",Glenn Cislo,male,0,3,0,super middle,2015,2019,https://boxrec.com/en/proboxer/717139,717139
2866,1914,"USA, Montana, Great Falls",Jerald Gregori,male,0,2,0,super feather,2019,2019,https://boxrec.com/en/proboxer/873688,873688
2867,1914,"USA, Montana, Great Falls",Steven Hellman,male,0,2,0,,2019,2019,https://boxrec.com/en/proboxer/875508,875508
2868,1914,"USA, Montana, Great Falls",Gage Saunders,male,0,1,0,,2019,2019,https://boxrec.com/en/proboxer/892402,892402
2869,1914,"USA, Montana, Great Falls",James Ogden,male,0,1,0,,2019,2019,https://boxrec.com/en/proboxer/894317,894317
2870,1918,"USA, Utah, Salt Lake City",Christian Aguirre,male,8,7,0,middle,2016,2019,https://boxrec.com/en/proboxer/769511,769511
2871,1918,"USA, Utah, Salt Lake City",Brandon Douglas,male,6,0,0,feather,2018,2019,https://boxrec.com/en/proboxer/831171,831171
2872,1918,"USA, Utah, Salt Lake City",Bladimir Estrada,male,4,3,0,light heavy,2016,2019,https://boxrec.com/en/proboxer/769509,769509
2873,1918,"USA, Utah, Salt Lake City",Ignacio Chairez,male,7,0,1,super light,2014,2019,https://boxrec.com/en/proboxer/699484,699484
2874,1918,"USA, Utah, Salt Lake City",Gabriel Chairez,male,3,0,0,light,2017,2019,https://boxrec.com/en/proboxer/817420,817420
2875,1918,"USA, Utah, Salt Lake City",Farhad Fatulla,male,1,4,0,super welter,2016,2019,https://boxrec.com/en/proboxer/758744,758744
2876,1918,"USA, Utah, Salt Lake City",Julio Martinez,male,1,1,0,super bantam,2018,2019,https://boxrec.com/en/proboxer/838175,838175
2877,1919,"USA, Utah, Murray",Jordan Marriott,male,1,6,2,middle,2016,2019,https://boxrec.com/en/proboxer/760274,760274
2878,1921,"USA, Utah, West Jordan",Larry Gomez,male,9,1,0,welter,2015,2019,https://boxrec.com/en/proboxer/725743,725743
2879,1921,"USA, Utah, South Jordan",Eric Clive Wahlin,male,5,0,0,heavy,2015,2019,https://boxrec.com/en/proboxer/730490,730490
2880,1921,"USA, Utah, South Jordan",Helaman Olguin,male,6,3,0,heavy,2008,2019,https://boxrec.com/en/proboxer/461887,461887
2881,1927,"USA, Arizona, Douglas",Saul Corral,male,30,14,0,welter,2006,2019,https://boxrec.com/en/proboxer/380614,380614
2882,1927,"USA, Arizona, Douglas",Carlos Sandoval,male,11,16,1,heavy,1997,2019,https://boxrec.com/en/proboxer/64803,64803
2883,1927,"USA, Arizona, Douglas",Jorge Alberto Careaga,male,4,3,0,super bantam,2017,2018,https://boxrec.com/en/proboxer/818060,818060
2884,1938,"USA, Montana, Helena",Ariel Beck,female,3,2,0,feather,2012,2018,https://boxrec.com/en/proboxer/622349,622349
2885,1963,"USA, Arizona, Sierra Vista",Jesus Arevalo,male,2,8,0,super feather,2015,2019,https://boxrec.com/en/proboxer/736236,736236
2886,1985,"USA, Arizona, Tucson",Wilberth Lopez,male,23,11,0,welter,2013,2019,https://boxrec.com/en/proboxer/649656,649656
2887,1985,"USA, Arizona, Tucson",Alfonso Olvera,male,12,6,3,super light,2014,2019,https://boxrec.com/en/proboxer/701154,701154
2888,1985,"USA, Arizona, Tucson",Thomas Valdez,male,19,3,2,super feather,2009,2019,https://boxrec.com/en/proboxer/498590,498590
2889,1985,"USA, Arizona, Tucson",Christopher Gonzalez,male,6,0,1,welter,2017,2019,https://boxrec.com/en/proboxer/816282,816282
2890,1985,"USA, Arizona, Tucson",Jose Pena,male,3,2,0,super welter,2015,2019,https://boxrec.com/en/proboxer/721574,721574
2891,1985,"USA, Arizona, Tucson",Emmanuel Guajardo,male,5,0,0,middle,2018,2019,https://boxrec.com/en/proboxer/830990,830990
2892,1985,"USA, Arizona, Tucson",Nicholas Rhoads,male,5,0,1,super welter,2018,2019,https://boxrec.com/en/proboxer/831367,831367
2893,1985,"USA, Arizona, Tucson",Rafael Garcia,male,9,3,0,super middle,2013,2019,https://boxrec.com/en/proboxer/663243,663243
2894,1985,"USA, Arizona, Tucson",Jesse Valentino Ruiz,male,6,5,2,super fly,2011,2019,https://boxrec.com/en/proboxer/586779,586779
2895,1985,"USA, Arizona, Tucson",Rodolfo Gamez,male,2,6,0,welter,2006,2019,https://boxrec.com/en/proboxer/351157,351157
2896,1985,"USA, Arizona, Tucson",Francisco Muro,male,3,6,0,feather,2015,2019,https://boxrec.com/en/proboxer/721573,721573
2897,1985,"USA, Arizona, Tucson",Arturo Resendiz,male,2,1,0,middle,2018,2019,https://boxrec.com/en/proboxer/837169,837169
2898,1985,"USA, Arizona, Tucson",Richard Martinez,male,1,2,0,bantam,2016,2018,https://boxrec.com/en/proboxer/768261,768261
2899,1985,"USA, Arizona, Tucson",Edgar Medina,male,1,0,0,heavy,2018,2018,https://boxrec.com/en/proboxer/854179,854179
2900,1985,"USA, Arizona, Tucson",Darryl Brown,male,0,1,0,light heavy,2019,2019,https://boxrec.com/en/proboxer/881859,881859
2901,1990,"USA, Arizona, Florence",Edriech Rosa,male,3,0,0,super fly,2018,2019,https://boxrec.com/en/proboxer/852518,852518
2902,1991,"USA, Arizona, Apache Junction",Jesus Ibarra,male,9,0,0,super feather,2017,2019,https://boxrec.com/en/proboxer/790559,790559
2903,1998,"USA, Arizona",Gregorio Torres,male,13,7,3,super feather,2006,2018,https://boxrec.com/en/proboxer/358607,358607
2904,1998,"USA, Arizona",Dante Stone,male,3,1,0,heavy,2018,2019,https://boxrec.com/en/proboxer/825807,825807
2905,1998,"USA, Arizona",Waldo Cortes Acosta,male,5,2,0,heavy,2017,2019,https://boxrec.com/en/proboxer/801439,801439
2906,1998,"USA, Arizona",John Moraga,male,1,1,0,feather,2012,2019,https://boxrec.com/en/proboxer/609452,609452
2907,2004,"USA, Arizona, Nogales",Judas Estrada,male,1,1,1,welter,2016,2018,https://boxrec.com/en/proboxer/785940,785940
2908,2006,"USA, Arizona, Gilbert",Alex Moreno,male,2,0,0,feather,2019,2019,https://boxrec.com/en/proboxer/875838,875838
2909,2007,"USA, Arizona, Mesa",Eben Vargas,male,11,0,0,welter,2016,2019,https://boxrec.com/en/proboxer/772551,772551
2910,2007,"USA, Arizona, Mesa",Micky Scala,male,1,0,0,super light,2019,2019,https://boxrec.com/en/proboxer/890902,890902
2911,2007,"USA, Arizona, Mesa",Jose Castanon,male,0,1,0,light heavy,2019,2019,https://boxrec.com/en/proboxer/867008,867008
2912,2010,"USA, Arizona, Chandler",Misael Chacon,male,3,19,3,super light,2014,2019,https://boxrec.com/en/proboxer/678075,678075
2913,2010,"USA, Arizona, Scottsdale",Zeljko Stipetic,male,1,0,0,cruiser,2019,2019,https://boxrec.com/en/proboxer/867991,867991
2914,2010,"USA, Arizona, Chandler",David Damore,male,1,6,3,cruiser,2014,2018,https://boxrec.com/en/proboxer/701163,701163
2915,2010,"USA, Arizona, Scottsdale",Andres Ponce,male,0,1,0,super welter,2019,2019,https://boxrec.com/en/proboxer/898715,898715
2916,2013,"USA, Arizona, Tempe",Efrain Escudero,male,0,1,0,welter,2019,2019,https://boxrec.com/en/proboxer/887491,887491
2917,2013,"USA, Arizona, Tempe",James Browning,male,3,0,0,super feather,2019,2019,https://boxrec.com/en/proboxer/888903,888903
2918,2014,"USA, Arizona, Casa Grande",Abel Ramos,male,25,3,2,welter,2011,2019,https://boxrec.com/en/proboxer/579465,579465
2919,2014,"USA, Arizona, Casa Grande",Jesus Alejandro Ramos,male,11,0,0,welter,2018,2019,https://boxrec.com/en/proboxer/838652,838652
2920,2014,"USA, Arizona, Casa Grande",Christian Sullivan,male,8,0,0,super bantam,2018,2019,https://boxrec.com/en/proboxer/834630,834630
2921,2020,"USA, Arizona, Phoenix",David Benavidez,male,22,0,0,super middle,2013,2019,https://boxrec.com/en/proboxer/672259,672259
2922,2020,"USA, Arizona, Phoenix",Carlos Castro,male,24,0,0,super bantam,2012,2019,https://boxrec.com/en/proboxer/617852,617852
2923,2020,"USA, Arizona, Phoenix",Robert Manzanarez,male,38,3,0,light,2010,2019,https://boxrec.com/en/proboxer/528571,528571
2924,2020,"USA, Arizona, Phoenix",Andrew Hernandez,male,20,8,2,super middle,2010,2019,https://boxrec.com/en/proboxer/537358,537358
2925,2020,"USA, Arizona, Phoenix",Francisco De Vaca,male,20,1,0,super bantam,2013,2019,https://boxrec.com/en/proboxer/648254,648254
2926,2020,"USA, Arizona, Phoenix",Cesar Alan Valenzuela,male,15,6,1,light,2011,2019,https://boxrec.com/en/proboxer/581461,581461
2927,2020,"USA, Arizona, Phoenix",Alexis Santiago,male,21,7,1,super bantam,2009,2018,https://boxrec.com/en/proboxer/515613,515613
2928,2020,"USA, Arizona, Phoenix",Jose Marrufo,male,12,9,2,super light,2011,2019,https://boxrec.com/en/proboxer/573076,573076
2929,2020,"USA, Arizona, Phoenix",Fidel Hernandez,male,20,7,1,super middle,1996,2019,https://boxrec.com/en/proboxer/19570,19570
2930,2020,"USA, Arizona, Phoenix",Keenan Carbajal,male,19,2,1,feather,2013,2019,https://boxrec.com/en/proboxer/649657,649657
2931,2020,"USA, Arizona, Phoenix",Juan Kantun,male,21,8,3,super fly,2005,2019,https://boxrec.com/en/proboxer/337188,337188
2932,2020,"USA, Arizona, Phoenix",Sulem Urbina,female,10,0,0,fly,2016,2019,https://boxrec.com/en/proboxer/764409,764409
2933,2020,"USA, Arizona, Phoenix",Roberto Yong,male,7,18,2,super middle,2008,2019,https://boxrec.com/en/proboxer/469036,469036
2934,2020,"USA, Arizona, Phoenix",Jesus Aguinaga,male,5,9,2,super feather,2012,2019,https://boxrec.com/en/proboxer/628831,628831
2935,2020,"USA, Arizona, Phoenix",Adrian Servin,male,8,0,1,super fly,2016,2019,https://boxrec.com/en/proboxer/772549,772549
2936,2020,"USA, Arizona, Phoenix",Alexis Zazueta,male,12,0,0,super fly,2013,2019,https://boxrec.com/en/proboxer/669797,669797
2937,2020,"USA, Arizona, Phoenix",Carlos Reyes,male,7,11,2,cruiser,2003,2019,https://boxrec.com/en/proboxer/204604,204604
2938,2020,"USA, Arizona, Phoenix",Adam Stewart,male,8,0,1,heavy,2016,2019,https://boxrec.com/en/proboxer/750008,750008
2939,2020,"USA, Arizona, Phoenix",Edward Ceballos,male,9,3,1,feather,2015,2019,https://boxrec.com/en/proboxer/726669,726669
2940,2020,"USA, Arizona, Phoenix",Edgar Ortiz,male,8,2,1,super bantam,2015,2019,https://boxrec.com/en/proboxer/726824,726824
2941,2020,"USA, Arizona, Phoenix",Luis Roy Suarez Cruz,male,13,2,0,super bantam,2016,2019,https://boxrec.com/en/proboxer/751689,751689
2942,2020,"USA, Arizona, Phoenix",Emmanuel Nieves,male,5,0,0,light,2014,2018,https://boxrec.com/en/proboxer/694009,694009
2943,2020,"USA, Arizona, Phoenix",Diamond J Baier,male,5,5,1,super feather,2009,2019,https://boxrec.com/en/proboxer/497782,497782
2944,2020,"USA, Arizona, Phoenix",Elihu Soto,male,7,0,0,fly,2013,2019,https://boxrec.com/en/proboxer/658773,658773
2945,2020,"USA, Arizona, Phoenix",David Courtney,male,3,9,0,light,2016,2018,https://boxrec.com/en/proboxer/743260,743260
2946,2020,"USA, Arizona, Phoenix",Antonio Brown,male,5,0,0,light heavy,2018,2019,https://boxrec.com/en/proboxer/836549,836549
